fact_campaign_key,campaign_key,user_key,event_key,marketing_team_key,country_key,device_key,user_country,user_state,device_type,event_type,user_id,user_name,digital_marketing_team,marketing_place,course_campaign_id,course_campaign_name,course_campaign_start_date,course_campaign_end_date,user_response_time,event_status,event_count,campaign_year,campaign_month,campaign_day
2011527,582,412-Bentlee Pethrick,6,2,United States-Florida,1,United States,Florida,tablet,email_sent,412,Bentlee Pethrick,IND_CCU_DIGEX,CCU,5963573025,email_podcasting_92,5/6/2022,5/20/2022,1651780129,1,1,2022,5,6
2011638,7,471-Fax Vedstra,6,1,United States-Tennessee,1,United States,Tennessee,tablet,email_sent,471,Fax Vedstra,IND_BDQ_DIGEX,BDQ,1272156451,email_podcasting_178,5/1/2022,5/15/2022,1651422160,1,1,2022,5,1
2012006,16,314-Genvieve Tremain,3,1,United States-Georgia,2,United States,Georgia,laptop,email_no_unsubscribe,314,Genvieve Tremain,IND_BDQ_DIGEX,BDQ,8344895618,email_podcasting_52,5/1/2022,5/15/2022,-1,0,1,2022,5,1
2012419,168,906-Wolfie Scoles,3,10,United States-Texas,2,United States,Texas,laptop,email_no_unsubscribe,906,Wolfie Scoles,IND_VTZ_DIGEX,VTZ,1026769809,email_email_marketing_27,5/2/2022,5/16/2022,-1,0,1,2022,5,2
2013640,496,768-Gearalt Fasson,8,6,United States-Wisconsin,1,United States,Wisconsin,tablet,email_no_open,768,Gearalt Fasson,IND_IXC_DIGEX,IXC,9049932215,email_youtube_marketing_153,5/2/2022,5/16/2022,-1,0,1,2022,5,2
2013801,839,316-Darin Dorset,7,10,United States-Idaho,1,United States,Idaho,tablet,email_open,316,Darin Dorset,IND_VTZ_DIGEX,VTZ,3087780685,email_podcasting_186,5/1/2022,5/15/2022,-1,1,1,2022,5,1
2013961,708,338-Antonio Lassell,1,10,United States-Texas,3,United States,Texas,mobile,email_click,338,Antonio Lassell,IND_VTZ_DIGEX,VTZ,4542804763,email_podcasting_92,5/3/2022,5/17/2022,-1,1,1,2022,5,3
2014241,67,229-Roze Casburn,3,1,United States-New York,1,United States,New York,tablet,email_no_unsubscribe,229,Roze Casburn,IND_BDQ_DIGEX,BDQ,365847305,email_podcasting_36,5/4/2022,5/18/2022,-1,0,1,2022,5,4
2015024,566,61-Noll MacSween,5,1,United States-Georgia,1,United States,Georgia,tablet,email_bounce,61,Noll MacSween,IND_BDQ_DIGEX,BDQ,7242142326,email_podcasting_155,5/5/2022,5/19/2022,-1,0,1,2022,5,5
2015076,584,602-Michelle Towne,3,10,United States-Minnesota,3,United States,Minnesota,mobile,email_no_unsubscribe,602,Michelle Towne,IND_VTZ_DIGEX,VTZ,4012689673,email_google_analytics_66,5/6/2022,5/20/2022,-1,0,1,2022,5,6
2015519,321,591-Marissa Gurnay,5,1,United States-Ohio,1,United States,Ohio,tablet,email_bounce,591,Marissa Gurnay,IND_BDQ_DIGEX,BDQ,7637892646,email_youtube_marketing_176,5/2/2022,5/16/2022,-1,0,1,2022,5,2
2016017,562,395-Felic Ladbrook,8,10,United States-Texas,3,United States,Texas,mobile,email_no_open,395,Felic Ladbrook,IND_VTZ_DIGEX,VTZ,3211984887,email_youtube_marketing_39,5/5/2022,5/19/2022,-1,0,1,2022,5,5
2016058,717,704-Bell Fancutt,2,10,United States-Washington,1,United States,Washington,tablet,email_no_click,704,Bell Fancutt,IND_VTZ_DIGEX,VTZ,9016975047,email_podcasting_13,5/4/2022,5/18/2022,-1,0,1,2022,5,4
2016087,223,44-Davey Gravey,2,7,United States-Florida,3,United States,Florida,mobile,email_no_click,44,Davey Gravey,IND_MYQ_DIGEX,MYQ,8160410689,email_podcasting_60,5/4/2022,5/18/2022,-1,0,1,2022,5,4
2016330,100,823-Wrennie Benit,5,10,United States-Massachusetts,1,United States,Massachusetts,tablet,email_bounce,823,Wrennie Benit,IND_VTZ_DIGEX,VTZ,7625357074,email_podcasting_108,5/6/2022,5/20/2022,-1,0,1,2022,5,6
2016640,84,779-Emelia Domengue,5,1,United States-North Carolina,1,United States,North Carolina,tablet,email_bounce,779,Emelia Domengue,IND_BDQ_DIGEX,BDQ,1314361694,email_youtube_marketing_114,5/5/2022,5/19/2022,-1,0,1,2022,5,5
2017666,12,294-Neils Mougenel,7,10,United States-Texas,2,United States,Texas,laptop,email_open,294,Neils Mougenel,IND_VTZ_DIGEX,VTZ,2573592294,email_podcasting_61,5/1/2022,5/15/2022,1651373034,1,2,2022,5,1
2018116,40,199-Shelia Grimsell,2,1,United States-Massachusetts,1,United States,Massachusetts,tablet,email_no_click,199,Shelia Grimsell,IND_BDQ_DIGEX,BDQ,6886214837,email_podcasting_76,5/3/2022,5/17/2022,-1,0,1,2022,5,3
2020222,844,123-Esme Cramer,2,10,United States-Ohio,1,United States,Ohio,tablet,email_no_click,123,Esme Cramer,IND_VTZ_DIGEX,VTZ,6506014067,email_podcasting_38,5/1/2022,5/15/2022,-1,0,1,2022,5,1
2020334,807,525-Rickard Avesque,5,10,United States-New York,2,United States,New York,laptop,email_bounce,525,Rickard Avesque,IND_VTZ_DIGEX,VTZ,5651464883,email_podcasting_70,5/8/2022,5/22/2022,-1,0,1,2022,5,8
